"","x"
"1",3169
"2",25803
"3",7021
"4",9635
"5",253190
"6",367
"7",79083
"8",55521
"9",5304
"10",54490
"11",222
"12",54847
"13",2194
"14",9060
"15",10202
"16",200734
"17",23199
"18",8564
"19",253782
"20",7494
"21",22928
"22",1718
"23",10200
"24",1831
"25",214
"26",4782
"27",5562
"28",23475
"29",55503
"30",3081
"31",10916
"32",23030
"33",1528
"34",23677
"35",2582
"36",2184
"37",9865
"38",2872
"39",2954
"40",1534
"41",5445
"42",65992
"43",1846
"44",5002
"45",444
"46",7108
"47",81031
"48",79603
"49",11257
"50",65084
"51",11221
"52",54502
"53",54677
"54",9022
"55",3875
"56",51809
"57",10424
"58",3880
"59",1201
"60",23647
"61",5618
"62",10140
"63",1384
"64",5829
"65",7905
"66",2172
"67",999
"68",7103
"69",400451
"70",4488
"71",92086
"72",1573
"73",9368
"74",79956
"75",83451
"76",1066
"77",11237
"78",23613
"79",51181
"80",5509
"81",29109
"82",9743
"83",9919
"84",55048
"85",27289
"86",81848
"87",2690
"88",7351
"89",11226
"90",79762
"91",65985
"92",9321
"93",22996
"94",57535
"95",1611
"96",6652
"97",80194
"98",26154
"99",27232
"100",8527
"101",10551
"102",7586
"103",8202
"104",2109
"105",55268
"106",1244
"107",563
"108",257407
"109",23464
"110",9124
"111",839
"112",1287
"113",1728
"114",54432
"115",11059
"116",538
"117",171546
"118",638
"119",80321
"120",79837
"121",25963
"122",10362
"123",55152
"124",9575
"125",57415
"126",64081
"127",6337
"128",8322
"129",57136
"130",8800
"131",6389
"132",7009
"133",1642
"134",8310
"135",10455
"136",54020
"137",247
"138",81539
"139",79962
"140",347
"141",50862
"142",5753
"143",8534
"144",54979
"145",10483
"146",8503
"147",55556
"148",11094
"149",80021
"150",3069
"151",4329
"152",5567
"153",93664
"154",27075
"155",10162
"156",80221
"157",65263
"158",10327
"159",3778
"160",645
"161",65055
"162",8996
"163",8365
"164",79901
"165",5602
"166",283450
"167",203197
"168",6720
"169",55650
"170",56929
"171",26994
"172",6319
"173",1486
"174",10072
"175",7358
"176",6307
"177",2264
"178",284266
"179",27034
"180",631
"181",4258
"182",79644
"183",977
"184",58986
"185",57235
"186",80303
"187",90362
"188",9252
"189",55163
"190",9825
"191",6342
"192",6567
"193",55884
"194",11187
"195",582
"196",26047
"197",8943
"198",8309
"199",9980
"200",26119
"201",207
"202",9761
"203",79739
"204",2539
"205",90861
"206",2800
"207",55905
"208",3927
"209",23041
"210",57175
"211",54884
"212",23171
"213",10585
"214",6505
"215",5711
"216",57016
"217",57720
"218",125058
"219",1950
"220",10313
"221",4925
"222",9885
"223",55031
"224",55129
"225",80195
"226",9950
"227",64087
"228",51573
"229",5869
"230",51382
"231",3158
"232",51474
"233",740
"234",7264
"235",51004
"236",4128
"237",3856
"238",376267
"239",79919
"240",91
"241",5295
"242",27300
"243",368
"244",9517
"245",6988
"246",339479
"247",2066
"248",23443
"249",1955
"250",55890
"251",55968
"252",10451
"253",9453
"254",23368
"255",55568
"256",64921
"257",3212
"258",7844
"259",79717
"260",140461
"261",64798
"262",3300
"263",8848
"264",54972
"265",79143
"266",400
"267",2064
"268",27445
