"","x"
"1",51442
"2",2568
"3",11168
"4",10473
"5",5613
"6",1029
"7",3251
"8",10644
"9",2171
"10",2744
"11",3930
"12",81611
"13",467
"14",23708
"15",4071
"16",6566
"17",2824
"18",8540
"19",79596
"20",3854
"21",113
"22",221061
"23",51444
"24",7447
"25",4281
"26",25984
"27",3843
"28",7298
"29",4609
"30",84617
"31",53335
"32",29902
"33",3945
"34",79070
"35",11254
"36",9126
"37",56650
"38",30968
"39",4603
"40",4893
"41",55082
"42",2037
"43",9655
"44",663
"45",9459
"46",23228
"47",6632
"48",97
"49",9493
"50",6347
"51",375248
"52",28959
"53",2773
"54",5359
"55",5268
"56",4200
"57",80183
"58",9833
"59",80342
"60",29940
"61",55795
"62",7153
"63",4851
"64",7027
"65",858
"66",2961
"67",10426
"68",3832
"69",6001
"70",60487
"71",51765
"72",6663
"73",146909
"74",11326
"75",2123
"76",10099
"77",8428
"78",6722
"79",3310
"80",55872
"81",10000
"82",23643
"83",10950
"84",80306
"85",54906
"86",10591
"87",8842
"88",1116
"89",65109
"90",9444
"91",22934
"92",23189
"93",54491
"94",9181
"95",5321
"96",6619
"97",22911
"98",79573
"99",10477
"100",2019
"101",2182
"102",699
"103",10449
"104",1730
"105",25797
"106",57162
"107",231
"108",7174
"109",9232
"110",10149
"111",55975
"112",79587
"113",10285
"114",10659
"115",51083
"116",929
"117",10133
"118",10479
"119",56603
"120",6443
"121",5317
"122",54908
"123",7272
"124",2296
"125",2091
"126",114885
"127",2263
"128",4155
"129",25941
"130",6275
"131",23432
"132",2305
"133",6782
"134",4277
"135",10492
"136",262
"137",9994
"138",10112
"139",2332
"140",25907
"141",5366
"142",55862
"143",54881
"144",55013
"145",93081
"146",5213
"147",4751
"148",9446
"149",597
"150",5066
"151",55704
"152",6624
"153",9837
"154",7342
"155",10635
"156",115123
"157",26278
"158",6197
"159",10915
"160",2012
"161",8660
"162",3815
"163",6194
"164",5520
"165",55165
"166",55144
"167",29015
"168",23483
"169",2215
"170",64425
"171",873
"172",10892
"173",64131
"174",55120
"175",8881
"176",29899
"177",8190
"178",5806
"179",11151
"180",10125
"181",84079
"182",26577
"183",5411
"184",6355
"185",55454
"186",79675
"187",9332
"188",8685
"189",1633
"190",8776
"191",86
"192",7913
"193",8898
"194",22873
"195",10885
"196",9839
"197",5550
"198",10123
"199",5202
"200",57180
"201",1871
"202",6907
"203",3709
"204",56992
"205",2189
"206",10855
"207",8690
"208",29969
"209",10670
"210",51389
"211",26098
"212",403
"213",5771
"214",27042
"215",10289
"216",5743
"217",2213
"218",9925
"219",8936
"220",419
"221",51338
"222",10308
"223",8877
"224",6374
"225",5585
"226",3868
"227",5134
"228",4478
"229",1808
"230",64783
"231",1514
"232",4311
"233",64699
"234",123
"235",1063
"236",7096
"237",6711
"238",55365
"239",55055
"240",5984
"241",55816
"242",89797
"243",3455
"244",10966
"245",3759
"246",6515
"247",6777
"248",6877
"249",5054
"250",1326
"251",55374
"252",2001
"253",23231
"254",834
"255",1381
"256",65110
"257",10602
"258",51053
"259",5996
"260",10484
"261",23336
"262",7159
"263",51320
"264",5610
"265",22978
"266",5292
"267",23390
"268",29078
"269",9467
"270",2534
"271",9910
"272",4089
"273",701
"274",259266
"275",4332
"276",1230
"277",2212
"278",4690
"279",8874
"280",2210
"281",2869
"282",573
"283",57405
"284",4259
"285",54962
"286",25957
"287",6742
"288",9656
"289",10542
"290",54861
"291",79001
"292",64151
"293",4067
"294",54210
"295",2146
"296",26064
"297",5578
"298",10054
"299",440
"300",366
"301",10402
"302",119
"303",6201
"304",9933
"305",10346
"306",9133
"307",1756
"308",8477
"309",3925
"310",29919
"311",3569
"312",4436
"313",6398
"314",55119
"315",9103
"316",85453
"317",90634
"318",6840
"319",23683
"320",10209
"321",56647
"322",5062
"323",56652
"324",54665
"325",3837
"326",8460
"327",23076
"328",64863
"329",9702
"330",6277
"331",5270
"332",2619
"333",9957
"334",5650
"335",2769
"336",64781
"337",965
"338",56950
"339",9473
"340",11097
"341",23062
"342",79679
"343",996
"344",10403
"345",55228
"346",29978
"347",8795
"348",23347
"349",10007
"350",991
"351",3298
"352",56983
"353",5329
"354",55012
"355",9045
"356",1535
"357",1054
"358",81849
"359",374354
"360",10404
"361",54780
"362",2919
"363",9945
"364",23516
"365",7775
